runTm,nation,genre,director,actor,is_adult,distributor,view,openMonth
115.0,1,5,정용기,신현준,0.0,(주)쇼박스,4529876,09
107.0,1,5,유선동,공형진,0.0,(주)쇼박스,337772,09
98.0,1,7,김태은,성현아,1.0,(주)쇼박스,98639,12
101.0,1,5,이계벽,류승범,0.0,(주)쇼박스,1339833,10
111.0,1,5,박광춘,김원진,0.0,(주)쇼박스,1533225,03
106.0,1,2,민준기,박중훈,0.0,(주)쇼박스,933147,07
147.0,3,1,이와이 슌지,미카미 히로시,1.0,(주)튜브엔터테인먼트,9337,06
129.0,3,1,로만 폴란스키,벤 킹슬리,0.0,(주)시네마서비스,1189,12
53.0,1,3,윤준형,양아람,0.0,(주)동숭아트센터,1000,07
107.0,2,7,미셸 공드리,짐 캐리,0.0,(주)노바미디어,506609,11
107.0,1,1,정재은,김강우,0.0,쇼이스트(주),47935,06
106.0,1,5,이영은,이범수,0.0,쇼이스트(주),679352,08
119.0,3,12,다카하타 이사오,신초우 코콘데이,0.0,대원씨앤에이홀딩스,23587,04
122.0,3,2,당계례,김희선,0.0,씨네그루(주)다우기술,449232,10
95.0,1,1,전윤수,송혜교,0.0,아이러브시네마,237284,12
92.0,1,1,박흥식,김동영,0.0,쇼이스트(주),349118,11
125.0,3,1,알랭 레네,제라르 드빠르디유,0.0,㈜영화사 백두대간,2479,12
107.0,3,1,파올로 타비아니,오메로 안토누티,0.0,㈜영화사 백두대간,2079,08
88.0,3,1,마이클 윈터바텀,자멀 우딘 토라비,0.0,㈜영화사 백두대간,8316,07
94.0,1,8,이우철,성현아,0.0,(주)튜브엔터테인먼트,158318,08
100.0,1,1,박철수,서정,1.0,(주)미로비젼,11022,06
100.0,1,5,오기환,손예진,0.0,(주)쇼박스,1853623,12
118.0,3,2,서극,견자단,0.0,(주)튜브엔터테인먼트,285195,09
106.0,1,1,임경수,신은경,0.0,(주)쇼박스,593867,12
108.0,1,1,권종관,신민아,0.0,롯데쇼핑㈜롯데엔터테인먼트,902077,10
123.0,1,1,황병국,정재영,0.0,롯데쇼핑㈜롯데엔터테인먼트,632553,11
110.0,3,1,마누엘 데 올리베이라,리타 블랑코,0.0,(주)이모션픽처스,1222,06
118.0,2,2,앤드류 니콜,에단 호크,0.0,미디어필름인터내셔날(주),103445,11
80.0,3,10,다니엘 고든,폴 니콜슨,0.0,(주)동숭아트센터,1902,08
116.0,2,1,스티븐 스필버그,톰 크루즈,0.0,UIP코리아,2643153,07
121.0,3,1,세드릭 칸,소피 귀레민,1.0,㈜영화사 백두대간,9777,06
112.0,3,1,릴리아나 카바니,존 말코비치,0.0,스폰지,4059,10
